tags,author_link,author,quote
"change,deep-thoughts,thinking,world",http://quotes.toscrape.com/author/Albert-Einstein,Albert Einstein,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”
"abilities,choices",http://quotes.toscrape.com/author/J-K-Rowling,J.K. Rowling,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”"
"inspirational,life,live,miracle,miracles",http://quotes.toscrape.com/author/Albert-Einstein,Albert Einstein,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”
"aliteracy,books,classic,humor",http://quotes.toscrape.com/author/Jane-Austen,Jane Austen,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”"
"be-yourself,inspirational",http://quotes.toscrape.com/author/Marilyn-Monroe,Marilyn Monroe,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”"
"adulthood,success,value",http://quotes.toscrape.com/author/Albert-Einstein,Albert Einstein,“Try not to become a man of success. Rather become a man of value.”
"life,love",http://quotes.toscrape.com/author/Andre-Gide,André Gide,“It is better to be hated for what you are than to be loved for what you are not.”
"edison,failure,inspirational,paraphrased",http://quotes.toscrape.com/author/Thomas-A-Edison,Thomas A. Edison,"“I have not failed. I've just found 10,000 ways that won't work.”"
misattributed-eleanor-roosevelt,http://quotes.toscrape.com/author/Eleanor-Roosevelt,Eleanor Roosevelt,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”
"humor,obvious,simile",http://quotes.toscrape.com/author/Steve-Martin,Steve Martin,"“A day without sunshine is like, you know, night.”"
